x,y
0,-0.9208187539523752
1,-1.322393047279507
2,-1.392974121565214
3,-1.4635551958509214
4,-1.5341362701366286
5,-1.604717344422336
6,-1.675298418708043
7,-1.7458794929937504
8,-1.8164605673436633
9,-1.887041641676181
10,-1.9576227160239221
11,-2.0282037903895733
12,-2.0987848647762952
13,-2.1693659391878053
14,-2.239947013628479
15,-2.310528088103463
16,-2.3811091626188112
17,-2.451690237181647
18,-2.522271311800351
19,-2.5928523864847812
20,-2.6634334612465373
21,-2.734014536099265
22,-2.804595611059018
23,-2.875176686144683
